statevars
	obstacle_at__x1_y1 obstacle_at__x1_y2 obstacle_at__x1_y3 robot_at__x1_y1 robot_at__x1_y2 robot_at__x1_y3 
	S63 S55 0.2 0.0
	S48 S55 0.2 0.0
	S52 S55 0.2 0.0
	S25 S29 0.8 -1.0
	S29 S29 0.8 -1.0
	S56 S55 0.2 0.0
	S60 S55 0.2 0.0
	S50 S63 0.8 0.0
	S54 S63 0.8 0.0
	S32 S55 0.2 0.0
	S36 S55 0.2 0.0
	S41 S63 0.8 0.0
	S45 S63 0.8 0.0
	S41 S55 0.2 0.0
	S45 S55 0.2 0.0
	S26 S30 0.8 -1.0
	S30 S30 0.8 -1.0
	S57 S55 0.2 0.0
	S61 S55 0.2 0.0
	S32 S63 0.8 0.0
	S36 S63 0.8 0.0
	S8 S30 0.8 -1.0
	S12 S30 0.8 -1.0
	S58 S63 0.8 0.0
	S62 S63 0.8 0.0
	S25 S21 0.2 -1.0
	S29 S21 0.2 -1.0
	S24 S20 0.2 -1.0
	S28 S20 0.2 -1.0
	S40 S63 0.8 0.0
	S44 S63 0.8 0.0
	S16 S21 0.2 -1.0
	S20 S21 0.2 -1.0
	S26 S22 0.2 -1.0
	S30 S22 0.2 -1.0
	S0 S31 0.8 -1.0
	S4 S31 0.8 -1.0
	S27 S23 0.2 -1.0
	S31 S23 0.2 -1.0
	S57 S63 0.8 0.0
	S61 S63 0.8 0.0
	S56 S63 0.8 0.0
	S60 S63 0.8 0.0
	S50 S55 0.2 0.0
	S54 S55 0.2 0.0
	S58 S55 0.2 0.0
	S62 S55 0.2 0.0
endaction

action move_north
	S56 S55 0.2 0.0
	S60 S55 0.2 0.0
	S50 S63 0.8 0.0
	S54 S63 0.8 0.0
	S48 S63 0.8 0.0
	S52 S63 0.8 0.0
	S32 S55 0.2 0.0
	S36 S55 0.2 0.0
	S41 S63 0.8 0.0
	S45 S63 0.8 0.0
	S9 S31 0.8 -1.0
	S13 S31 0.8 -1.0
	S24 S62 0.8 -1.0
	S28 S62 0.8 -1.0
	S9 S23 0.2 -1.0
	S13 S23 0.2 -1.0
	S41 S55 0.2 0.0
	S45 S55 0.2 0.0
	S57 S55 0.2 0.0
	S61 S55 0.2 0.0
	S32 S63 0.8 0.0
	S36 S63 0.8 0.0
	S27 S31 0.8 -1.0
	S31 S31 0.8 -1.0
	S24 S54 0.2 -1.0
	S28 S54 0.2 -1.0
	S40 S55 0.2 0.0
	S44 S55 0.2 0.0
	S58 S63 0.8 0.0
	S62 S63 0.8 0.0
	S16 S30 0.8 -1.0
	S20 S30 0.8 -1.0
	S16 S22 0.2 -1.0
	S20 S22 0.2 -1.0
	S59 S63 0.8 0.0
	S63 S63 0.8 0.0
	S40 S63 0.8 0.0
	S44 S63 0.8 0.0
	S0 S23 0.2 -1.0
	S4 S23 0.2 -1.0
	S18 S23 0.2 -1.0
	S22 S23 0.2 -1.0
	S0 S31 0.8 -1.0
	S4 S31 0.8 -1.0
	S25 S30 0.8 -1.0
	S29 S30 0.8 -1.0
	S18 S31 0.8 -1.0
	S22 S31 0.8 -1.0
	S59 S55 0.2 0.0
	S63 S55 0.2 0.0
	S25 S22 0.2 -1.0
	S29 S22 0.2 -1.0
	S48 S55 0.2 0.0
	S52 S55 0.2 0.0
	S27 S23 0.2 -1.0
	S31 S23 0.2 -1.0
	S57 S63 0.8 0.0
	S61 S63 0.8 0.0
	S56 S63 0.8 0.0
	S60 S63 0.8 0.0
	S50 S55 0.2 0.0
	S54 S55 0.2 0.0
	S58 S55 0.2 0.0
	S62 S55 0.2 0.0
endaction

action move_south
	S56 S55 0.2 0.0
	S60 S55 0.2 0.0
	S50 S63 0.8 0.0
	S54 S63 0.8 0.0
	S48 S63 0.8 0.0
	S52 S63 0.8 0.0
	S8 S21 0.2 -1.0
	S12 S21 0.2 -1.0
	S32 S55 0.2 0.0
	S36 S55 0.2 0.0
	S41 S63 0.8 0.0
	S45 S63 0.8 0.0
	S9 S31 0.8 -1.0
	S13 S31 0.8 -1.0
	S9 S23 0.2 -1.0
	S13 S23 0.2 -1.0
	S41 S55 0.2 0.0
	S45 S55 0.2 0.0
	S32 S63 0.8 0.0
	S36 S63 0.8 0.0
	S26 S21 0.2 -1.0
	S30 S21 0.2 -1.0
	S24 S21 0.2 -1.0
	S28 S21 0.2 -1.0
	S27 S31 0.8 -1.0
	S31 S31 0.8 -1.0
	S40 S55 0.2 0.0
	S44 S55 0.2 0.0
	S58 S63 0.8 0.0
	S62 S63 0.8 0.0
	S8 S29 0.8 -1.0
	S12 S29 0.8 -1.0
	S59 S63 0.8 0.0
	S63 S63 0.8 0.0
	S16 S29 0.8 -1.0
	S20 S29 0.8 -1.0
	S40 S63 0.8 0.0
	S44 S63 0.8 0.0
	S0 S23 0.2 -1.0
	S4 S23 0.2 -1.0
	S18 S23 0.2 -1.0
	S22 S23 0.2 -1.0
	S16 S21 0.2 -1.0
	S20 S21 0.2 -1.0
	S0 S31 0.8 -1.0
	S4 S31 0.8 -1.0
	S18 S31 0.8 -1.0
	S22 S31 0.8 -1.0
	S59 S55 0.2 0.0
	S63 S55 0.2 0.0
	S48 S55 0.2 0.0
	S52 S55 0.2 0.0
	S27 S23 0.2 -1.0
	S31 S23 0.2 -1.0
	S56 S63 0.8 0.0
	S60 S63 0.8 0.0
	S24 S29 0.8 -1.0
	S28 S29 0.8 -1.0
	S26 S29 0.8 -1.0
	S30 S29 0.8 -1.0
	S50 S55 0.2 0.0
	S54 S55 0.2 0.0
	S58 S55 0.2 0.0
	S62 S55 0.2 0.0
endaction

action move_west
	S48 S63 0.8 0.0
	S52 S63 0.8 0.0
	S9 S31 0.8 -1.0
	S13 S31 0.8 -1.0
	S24 S28 0.8 -1.0
	S28 S28 0.8 -1.0
	S9 S23 0.2 -1.0
	S13 S23 0.2 -1.0
	S8 S22 0.2 -1.0
	S12 S22 0.2 -1.0
	S27 S31 0.8 -1.0
	S31 S31 0.8 -1.0
	S40 S55 0.2 0.0
	S44 S55 0.2 0.0
	S59 S63 0.8 0.0
	S63 S63 0.8 0.0
	S16 S29 0.8 -1.0
	S20 S29 0.8 -1.0
	S0 S23 0.2 -1.0
	S4 S23 0.2 -1.0
	S18 S23 0.2 -1.0
	S22 S23 0.2 -1.0
	S18 S31 0.8 -1.0
	S22 S31 0.8 -1.0
	S59 S55 0.2 0.0
	S63 S55 0.2 0.0
	S48 S55 0.2 0.0
	S52 S55 0.2 0.0
	S25 S29 0.8 -1.0
	S29 S29 0.8 -1.0
	S56 S55 0.2 0.0
	S60 S55 0.2 0.0
	S50 S63 0.8 0.0
	S54 S63 0.8 0.0
	S32 S55 0.2 0.0
	S36 S55 0.2 0.0
	S41 S63 0.8 0.0
	S45 S63 0.8 0.0
	S41 S55 0.2 0.0
	S45 S55 0.2 0.0
	S26 S30 0.8 -1.0
	S30 S30 0.8 -1.0
	S57 S55 0.2 0.0
	S61 S55 0.2 0.0
	S32 S63 0.8 0.0
	S36 S63 0.8 0.0
	S8 S30 0.8 -1.0
	S12 S30 0.8 -1.0
	S58 S63 0.8 0.0
	S62 S63 0.8 0.0
	S25 S21 0.2 -1.0
	S29 S21 0.2 -1.0
	S24 S20 0.2 -1.0
	S28 S20 0.2 -1.0
	S40 S63 0.8 0.0
	S44 S63 0.8 0.0
	S16 S21 0.2 -1.0
	S20 S21 0.2 -1.0
	S26 S22 0.2 -1.0
	S30 S22 0.2 -1.0
	S0 S31 0.8 -1.0
	S4 S31 0.8 -1.0
	S27 S23 0.2 -1.0
	S31 S23 0.2 -1.0
	S57 S63 0.8 0.0
	S61 S63 0.8 0.0
	S56 S63 0.8 0.0
	S60 S63 0.8 0.0
	S50 S55 0.2 0.0
	S54 S55 0.2 0.0
	S58 S55 0.2 0.0
	S62 S55 0.2 0.0
endaction

action noop
	S48 S63 0.8 0.0
	S52 S63 0.8 0.0
	S9 S31 0.8 -1.0
	S13 S31 0.8 -1.0
	S24 S28 0.8 -1.0
	S28 S28 0.8 -1.0
	S9 S23 0.2 -1.0
	S13 S23 0.2 -1.0
	S8 S22 0.2 -1.0
	S12 S22 0.2 -1.0
	S27 S31 0.8 -1.0
	S31 S31 0.8 -1.0
	S40 S55 0.2 0.0
	S44 S55 0.2 0.0
	S59 S63 0.8 0.0
	S63 S63 0.8 0.0
	S16 S29 0.8 -1.0
	S20 S29 0.8 -1.0
	S0 S23 0.2 -1.0
	S4 S23 0.2 -1.0
	S18 S23 0.2 -1.0
	S22 S23 0.2 -1.0
	S18 S31 0.8 -1.0
	S22 S31 0.8 -1.0
	S59 S55 0.2 0.0
	S63 S55 0.2 0.0
	S48 S55 0.2 0.0
	S52 S55 0.2 0.0
	S25 S29 0.8 -1.0
	S29 S29 0.8 -1.0
	S56 S55 0.2 0.0
	S60 S55 0.2 0.0
	S50 S63 0.8 0.0
	S54 S63 0.8 0.0
	S32 S55 0.2 0.0
	S36 S55 0.2 0.0
	S41 S63 0.8 0.0
	S45 S63 0.8 0.0
	S41 S55 0.2 0.0
	S45 S55 0.2 0.0
	S26 S30 0.8 -1.0
	S30 S30 0.8 -1.0
	S57 S55 0.2 0.0
	S61 S55 0.2 0.0
	S32 S63 0.8 0.0
	S36 S63 0.8 0.0
	S8 S30 0.8 -1.0
	S12 S30 0.8 -1.0
	S58 S63 0.8 0.0
	S62 S63 0.8 0.0
	S25 S21 0.2 -1.0
	S29 S21 0.2 -1.0
	S24 S20 0.2 -1.0
	S28 S20 0.2 -1.0
	S40 S63 0.8 0.0
	S44 S63 0.8 0.0
	S16 S21 0.2 -1.0
	S20 S21 0.2 -1.0
	S26 S22 0.2 -1.0
	S30 S22 0.2 -1.0
	S0 S31 0.8 -1.0
	S4 S31 0.8 -1.0
	S27 S23 0.2 -1.0
	S31 S23 0.2 -1.0
	S57 S63 0.8 0.0
	S61 S63 0.8 0.0
	S56 S63 0.8 0.0
	S60 S63 0.8 0.0
	S50 S55 0.2 0.0
	S54 S55 0.2 0.0
	S58 S55 0.2 0.0
	S62 S55 0.2 0.0
endaction

discount factor 0.99
maxiterations 10000
